NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Mendelevium;258;101;;;;Md;;;[Rn] 5f13 7s2;1.3;;;;;;;6.58;Watts/meter/degree Kelvin;10;Kelvin;1100;;;;;;;
Magnesium;24.305;12;2;Kelvin;1380;Mg;grams/cubic centimeter;1.74;[Ne] 3s2;1.31;Angstroms;1.6;cubic centimeters/mole;14;Joules/gram/degree Kelvin;1.02;7.646;Watts/meter/degree Kelvin;156;Kelvin;922;Angstroms;1.36;kilojoules/mole;127.6;kilojoules/mole;8.95;
Manganese;54.938;25;7, 6, 4, 2, 3;Kelvin;2335;Mn;grams/cubic centimeter;7.44;[Ar] 3d5 4s2;1.55;Angstroms;1.35;cubic centimeters/mole;7.39;Joules/gram/degree Kelvin;0.48;7.435;Watts/meter/degree Kelvin;7.82;Kelvin;1518;Angstroms;1.17;kilojoules/mole;219.74;kilojoules/mole;14.64;
Molybdenum;95.94;42;6, 5, 4, 3, 2;Kelvin;4912;Mo;grams/cubic centimeter;10.22;[Kr] 4d5 5s1;2.16;Angstroms;1.39;cubic centimeters/mole;9.4;Joules/gram/degree Kelvin;0.25;7.099;Watts/meter/degree Kelvin;138;Kelvin;2896;Angstroms;1.3;kilojoules/mole;590.4;kilojoules/mole;36;
Meitnerium;266;109;;;;Mt;;;[Rn] 5f14 6d7 7s2;;;;;;;;;;;;;;;;;;;
Nitrogen;14.0067;7;+/-3, 5, 4, 2;Kelvin;77.344;N;grams/cubic centimeter;1.251;1s2 2s2 p3;3.04;Angstroms;0.92;cubic centimeters/mole;17.3;Joules/gram/degree Kelvin;1.042;14.534;Watts/meter/degree Kelvin;0.02598;Kelvin;63.15;Angstroms;0.75;kilojoules/mole;2.7928;kilojoules/mole;0.36;
Sodium;22.98977;11;1;Kelvin;1156;Na;grams/cubic centimeter;0.97;[Ne] 3s1;0.93;Angstroms;1.9;cubic centimeters/mole;23.7;Joules/gram/degree Kelvin;1.23;5.139;Watts/meter/degree Kelvin;141;Kelvin;371;Angstroms;1.54;kilojoules/mole;98.01;kilojoules/mole;2.601;
Niobium;92.9064;41;5, 3;Kelvin;5015;Nb;grams/cubic centimeter;8.57;[Kr] 4d4 5s1;1.6;Angstroms;1.46;cubic centimeters/mole;10.8;Joules/gram/degree Kelvin;0.265;6.88;Watts/meter/degree Kelvin;53.7;Kelvin;2742;Angstroms;1.34;kilojoules/mole;690.1;kilojoules/mole;26.9;
Neodymium;144.24;60;3;Kelvin;3347;Nd;grams/cubic centimeter;7.01;[Xe] 4f4 6s2;1.14;Angstroms;1.82;cubic centimeters/mole;20.6;Joules/gram/degree Kelvin;0.19;5.49;Watts/meter/degree Kelvin;16.5;Kelvin;1294;Angstroms;1.64;kilojoules/mole;283.68;kilojoules/mole;10.88;
Neon;20.1797;10;;Kelvin;27.1;Ne;grams/cubic centimeter;0.900;1s2 2s2 p6;0;Angstroms;0.51;cubic centimeters/mole;16.9;Joules/gram/degree Kelvin;1.03;21.564;Watts/meter/degree Kelvin;0.0493;Kelvin;24.55;Angstroms;0.71;kilojoules/mole;1.77;kilojoules/mole;0.34;
Nickel;58.6934;28;2, 3;Kelvin;3005;Ni;grams/cubic centimeter;8.9;[Ar] 3d8 4s2;1.91;Angstroms;1.24;cubic centimeters/mole;6.6;Joules/gram/degree Kelvin;0.444;7.635;Watts/meter/degree Kelvin;90.7;Kelvin;1726;Angstroms;1.15;kilojoules/mole;377.5;kilojoules/mole;17.2;
Nobelium;259;102;;;;No;;;[Rn] 5f14 7s2;1.3;;;;;;;6.65;Watts/meter/degree Kelvin;10;Kelvin;1100;;;;;;;
Neptunium;237.0482;93;6, 5, 4, 3;Kelvin;4175;Np;grams/cubic centimeter;20.2;[Rn] 5f4 6d1 7s2;1.36;Angstroms;1.3;cubic centimeters/mole;21.1;;;6.19;Watts/meter/degree Kelvin;6.3;Kelvin;912;;;;;;;
Oxygen;15.9994;8;-2;Kelvin;90.188;O;grams/cubic centimeter;1.429;1s2 2s2 p4;3.44;Angstroms;0.65;cubic centimeters/mole;14;Joules/gram/degree Kelvin;0.92;13.618;Watts/meter/degree Kelvin;0.2674;Kelvin;54.8;Angstroms;0.73;kilojoules/mole;3.4109;kilojoules/mole;0.222;
Osmium;190.2;76;2, 3, 4, 6, 8;Kelvin;5300;Os;grams/cubic centimeter;22.6;[Xe] 4f14 5d6 6s2;2.2;Angstroms;1.35;cubic centimeters/mole;8.43;Joules/gram/degree Kelvin;0.13;8.7;Watts/meter/degree Kelvin;87.6;Kelvin;3300;Angstroms;1.26;kilojoules/mole;627.6;kilojoules/mole;29.29;
Phosphorus;30.97376;15;+/-3, 5, 4;Kelvin;553;P;grams/cubic centimeter;1.82;[Ne] 3s2 p3;2.19;Angstroms;1.28;cubic centimeters/mole;17;Joules/gram/degree Kelvin;0.769;10.486;Watts/meter/degree Kelvin;0.235;Kelvin;317.3;Angstroms;1.06;kilojoules/mole;12.4;kilojoules/mole;0.63;
Protactinium;231.0359;91;5, 4;Kelvin;4300;Pa;grams/cubic centimeter;15.4;[Rn] 5f2 6d1 7s2;1.5;Angstroms;1.61;cubic centimeters/mole;15;;;5.88;Watts/meter/degree Kelvin;47;Kelvin;1845;;;;;;;
Lead;207.2;82;4, 2;Kelvin;2023;Pb;grams/cubic centimeter;11.35;[Xe] 4f14 5d10 6s2 p2;2.33;Angstroms;1.75;cubic centimeters/mole;18.3;Joules/gram/degree Kelvin;0.129;7.416;Watts/meter/degree Kelvin;35.3;Kelvin;600.65;Angstroms;1.47;kilojoules/mole;177.9;kilojoules/mole;4.77;
Palladium;106.42;46;2, 4;Kelvin;3240;Pd;grams/cubic centimeter;12;[Kr] 4d10;2.2;Angstroms;1.37;cubic centimeters/mole;8.9;Joules/gram/degree Kelvin;0.244;8.34;Watts/meter/degree Kelvin;71.8;Kelvin;1825;Angstroms;1.28;kilojoules/mole;393.3;kilojoules/mole;16.74;
Promethium;145;61;3;Kelvin;3273;Pm;grams/cubic centimeter;7.22;[Xe] 4f5 6s2;1.13;;;cubic centimeters/mole;22.4;;;5.55;Watts/meter/degree Kelvin;17.9;Kelvin;1315;Angstroms;1.63;;;;;
Polonium;209;84;4, 2;;;Po;grams/cubic centimeter;9.3;[Xe] 4f14 5d10 6s2 p4;2;Angstroms;1.67;cubic centimeters/mole;22.7;;;8.42;Watts/meter/degree Kelvin;20;Kelvin;527;Angstroms;1.53;kilojoules/mole;120;kilojoules/mole;13;
Praseodymium;140.9077;59;3, 4;Kelvin;3785;Pr;grams/cubic centimeter;6.77;[Xe] 4f3 6s2;1.13;Angstroms;1.82;cubic centimeters/mole;20.8;Joules/gram/degree Kelvin;0.193;5.42;Watts/meter/degree Kelvin;12.5;Kelvin;1204;Angstroms;1.65;kilojoules/mole;332.63;kilojoules/mole;10.04;
Platinum;195.08;78;2, 4;Kelvin;4100;Pt;grams/cubic centimeter;21.45;[Xe] 4f14 5d9 6s1;2.28;Angstroms;1.39;cubic centimeters/mole;9.1;Joules/gram/degree Kelvin;0.13;9;Watts/meter/degree Kelvin;71.6;Kelvin;2042.1;Angstroms;1.3;kilojoules/mole;510.45;kilojoules/mole;19.66;
Plutonium;244;94;6, 5, 4, 3;Kelvin;3505;Pu;grams/cubic centimeter;19.84;[Rn] 5f6 7s2;1.28;Angstroms;1.51;cubic centimeters/mole;12.32;Joules/gram/degree Kelvin;0.13;6.06;Watts/meter/degree Kelvin;6.74;Kelvin;913;;;;;;;
Radium;226.0254;88;2;Kelvin;1413;Ra;grams/cubic centimeter;5;[Rn] 7s2;0.89;Angstroms;2.33;cubic centimeters/mole;45.2;Joules/gram/degree Kelvin;0.094;5.279;Watts/meter/degree Kelvin;18.6;Kelvin;973;;;kilojoules/mole;136.82;kilojoules/mole;8.37;
Rubidium;85.4678;37;1;Kelvin;961;Rb;grams/cubic centimeter;1.532;[Kr] 5s1;0.82;Angstroms;2.48;cubic centimeters/mole;55.9;Joules/gram/degree Kelvin;0.363;4.177;Watts/meter/degree Kelvin;58.2;Kelvin;312.63;Angstroms;2.16;kilojoules/mole;69.2;kilojoules/mole;2.34;
